,user_id,id,action_rating,technical_correctness,aesthetic_appeal,action_not_recognized,file_created_at,filename
0,clpe1410,0881f9d1-1e9d-446b-b6a4-fd45c63508e5,3.0,5.0,2.0,False,2025-10-18 17:18:15.440122,clpe1410_0881f9d1-1e9d-446b-b6a4-fd45c63508e5.json
1,anma2416,da098f44-2f47-49c5-aa41-b54954362409,1.0,3.0,1.0,False,2025-10-16 13:59:13.000000,anma2416_da098f44-2f47-49c5-aa41-b54954362409.json
2,mana12312,2843ae21-38e2-468e-9425-29cf5c9e442f,1.0,1.0,2.0,False,2025-10-15 11:15:01.000000,mana12312_2843ae21-38e2-468e-9425-29cf5c9e442f.json
3,mana12312,02da8947-987e-4c02-9b62-09198e312169,5.0,6.0,4.0,False,2025-10-16 11:03:10.000000,mana12312_02da8947-987e-4c02-9b62-09198e312169.json
4,mana12312,0969fb41-c9c7-4b5d-ade9-9e601be5a2c9,2.0,5.0,2.0,False,2025-10-16 11:04:54.000000,mana12312_0969fb41-c9c7-4b5d-ade9-9e601be5a2c9.json
5,hüan04,1dbd7a1b-ff00-468e-a616-52cdc5d69e67,2.0,7.0,2.0,False,2025-10-09 17:07:34.000000,hüan04_1dbd7a1b-ff00-468e-a616-52cdc5d69e67.json
6,kauw2915,9c4ad923-a804-429c-a4a4-add668966f20,1.0,4.0,2.0,False,2025-10-15 10:54:50.000000,kauw2915_9c4ad923-a804-429c-a4a4-add668966f20.json
7,anma2416,eb722f41-0d66-4a65-8d91-bbd5d49035fb,,,,True,2025-10-16 14:06:35.000000,anma2416_eb722f41-0d66-4a65-8d91-bbd5d49035fb.json
8,kauw2915,23f3515d-0257-48b2-aad6-8e41d9de56a6,1.0,3.0,1.0,False,2025-10-18 17:18:15.499751,kauw2915_23f3515d-0257-48b2-aad6-8e41d9de56a6.json
9,hüan04,0c3f6ed2-94e7-4363-b04e-7a1e2441f70e,,,,True,2025-10-09 16:25:05.000000,hüan04_0c3f6ed2-94e7-4363-b04e-7a1e2441f70e.json
10,anma2416,06045dde-5e2a-42d5-ab93-14e5dc66092e,3.0,3.0,4.0,False,2025-10-18 17:18:15.412538,anma2416_06045dde-5e2a-42d5-ab93-14e5dc66092e.json
11,mana12312,804fe5e9-af7a-42c9-b6c4-b52b4bfba9d6,3.0,3.0,1.0,False,2025-10-15 11:40:03.000000,mana12312_804fe5e9-af7a-42c9-b6c4-b52b4bfba9d6.json
12,mana12312,84568a89-7b7b-44a9-b1e8-34b7a52b4452,3.0,6.0,1.0,False,2025-10-15 11:41:32.000000,mana12312_84568a89-7b7b-44a9-b1e8-34b7a52b4452.json
13,mana12312,5cd5d166-1ea3-464b-bfba-538c0f93fcf5,2.0,4.0,1.0,False,2025-10-16 11:33:53.000000,mana12312_5cd5d166-1ea3-464b-bfba-538c0f93fcf5.json
14,hüan04,1b5993aa-e727-47a9-8345-4c7d52e4ac33,2.0,5.0,2.0,False,2025-10-09 17:02:19.000000,hüan04_1b5993aa-e727-47a9-8345-4c7d52e4ac33.json
15,anma2416,12523795-402c-497e-bd85-fa71b43e0c2d,,,,True,2025-10-18 17:18:15.409307,anma2416_12523795-402c-497e-bd85-fa71b43e0c2d.json
16,hüan04,150b2e1e-3ca7-48f2-b672-19ff65b55a64,1.0,7.0,2.0,False,2025-10-09 16:47:48.000000,hüan04_150b2e1e-3ca7-48f2-b672-19ff65b55a64.json
